Bankleitzahl;Merkmal;Bezeichnung;PLZ;Ort;Kurzbezeichnung;PAN;BIC;Prüfzifferberechnungsmethode;Datensatznummer;Änderungskennzeichen;Bankleitzahllöschung;Nachfolge-Bankleitzahl
"79567531";"1";"VR-Bank -alt-";"63748";"Alzenau";"VR-Bank -alt-";"67120";"GENODEF1ALZ";"88";"024675";"U";"0";"00000000"
"79568518";"1";"Raiffeisenbank Haibach-Obernau";"63803";"Haibach";"Raiffbk Haibach-Obernau";"67121";"GENODEF1HAC";"88";"024632";"U";"1";"79562514"
"79570024";"1";"Deutsche Bank";"63741";"Aschaffenburg";"Deutsche Bank";"21112";"DEUTDEDB795";"63";"050355";"U";"0";"00000000"
"79570051";"1";"Deutsche Bank";"63741";"Aschaffenburg";"Deutsche Bank";"27112";"DEUTDEFF795";"63";"004999";"U";"0";"00000000"
"79570324";"1";"Postbank/DSL Ndl der Deutsche Bank";"63739";"Aschaffenburg";"Postbank Ndl Deutsche Bank";"21364";"DEUTDEDBP18";"63";"057561";"U";"0";"00000000"
"79570364";"1";"Postbank/DSL Ndl der Deutsche Bank";"63739";"Aschaffenburg";"Postbank Ndl Deutsche Bank";"27364";"DEUTDEFFS18";"63";"057560";"U";"0";"00000000"
"79580099";"1";"Commerzbank vormals Dresdner Bank";"63704";"Aschaffenburg";"Commerzbank Aschaffenburg";"28795";"DRESDEFF795";"76";"005338";"U";"0";"00000000"
"79589402";"1";"Commerzbank vormals Dresdner Bank ITGK";"63704";"Aschaffenburg";"Commerzbank ITGK Aschaff.";;"DRESDEFFI47";"09";"052941";"U";"0";"00000000"
"79590000";"1";"Volksbank Aschaffenburg -alt-";"63739";"Aschaffenburg";"VB Aschaffenburg -alt-";"97031";"GENODEF1AB2";"88";"021547";"U";"0";"00000000"
"79650000";"1";"Sparkasse Miltenberg-Obernburg -alt-";"63897";"Miltenberg";"Spk Miltenberg-Obernb.-alt-";"57262";"BYLADEM1MIL";"00";"009297";"U";"0";"00000000"
"79665540";"1";"Raiffeisenbank Elsavatal";"63863";"Eschau";"Raiffbk Elsavatal";"68083";"GENODEF1EAU";"88";"028269";"U";"0";"00000000"
